id,name,price,sale_price,style,sales,type,color,date,url
1_000231887_FA11-07290,女裝棉質舒適V領短袖T恤,799.0,559.0,000231887,116,不顯示,純正黑色,2020-02-21 17:28:10,https://awsresources.baozun.com/aws/96001088/20200219/05BCACA96A4549F05877D21AD47F66F2.jpg
241902TRUE INDIGO 2,女裝莫代爾圓領短袖T恤,799.0,559.0,000241902,62,不顯示,純靛藍色,2020-05-18 10:37:35,https://awsresources.baozun.com/aws/96001088/20190816/1A97E8A14F57D47E1B62236ACB33B458.jpg
1_000540785_FA15-33466,女裝高質感厚磅休閒基本款圓領短袖T恤,999.0,699.0,000540785,20,不顯示,駝色,2020-03-11 15:46:23,https://awsresources.baozun.com/aws/96001088/20200320/BC6ADAAAE95FAEB67BDDEAA2629C4BD0.jpg
1_000540785_H106-10486,女裝高質感厚磅棉質舒適圓領短袖T恤,999.0,699.0,000540785,50,不顯示,白色,2020-03-11 15:46:23,https://awsresources.baozun.com/aws/96001088/20200224/A3DA23B1D180B962F6D0E53E3E5D9609.jpg
1_000540785_SP13-29616,女裝高質感厚磅休閒基本款圓領短袖T恤,999.0,699.0,000540785,31,不顯示,陽光灰色,2020-03-11 15:46:23,https://awsresources.baozun.com/aws/96001088/20200429/847591B971F15918D3D2AEB96B378DCA.jpg
1_000544856_SB13-33136,女裝Logo基本款圓領休閒上衣,1499.0,1049.0,000544856,0,不顯示,170/108A(XL),2020-03-17 16:02:05,https://awsresources.baozun.com/aws/96001088/20200106/06BD5C7ACBAED9919D6560BE785EA2D1.jpg
1_000540795_H105-09596,女裝高質感厚磅棉質舒適條紋圓領短袖T恤,1299.0,909.0,000540795,14,不顯示,條紋海軍藍,2020-03-11 15:46:23,https://awsresources.baozun.com/aws/96001088/20200224/AD04B015583D6F643F260A0A24AE3CE5.jpg
241902TRUE BLACK,女裝莫代爾圓領短袖T恤,799.0,559.0,000241902,93,不顯示,正黑色,2020-05-18 10:37:35,https://awsresources.baozun.com/aws/96001088/20190816/D284512D39614809F8FB1A83C2C7F1A9.jpg
1_000567669_HO07-12789,女裝Gap x Disney 迪士尼系列冰雪奇緣棉質寬鬆圓領短袖T恤,999.0,699.0,000567669,17,不顯示,新鮮薄荷綠,2020-03-17 16:02:09,https://awsresources.baozun.com/aws/96001088/20200218/27D4A232CDE435C9A0BE66CC3DC6038E.jpg
1_000567669_SB13-32232,女裝Gap x Disney 迪士尼系列冰雪奇緣棉質寬鬆圓領短袖T恤,999.0,699.0,000567669,17,不顯示,光感亮白,2020-05-29 11:14:09,https://awsresources.baozun.com/aws/96001088/20200218/E3562B41A09D811CD05830374B0E788F.jpg
1_000567669_FA17-36700,女裝Gap x Disney 迪士尼系列冰雪奇緣棉質寬鬆圓領短袖T恤,999.0,699.0,000567669,5,不顯示,海軍藍白條紋,2020-03-17 16:02:09,https://awsresources.baozun.com/aws/96001088/20200407/A242F183F74D2BC5A9CA643E5E4B626C.jpg
241902HEATHER GREY,女裝莫代爾圓領短袖T恤,799.0,559.0,000241902,20,不顯示,石楠灰,2020-05-18 10:37:35,https://awsresources.baozun.com/aws/96001088/20190816/434D7C47C5439726492FBFC10443AC85.jpg
